City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
190,forster,-32.1667,152.5167,288.36,73,31,0.45,AU,1683628570
191,san patricio,28.017,-97.5169,301.07,87,100,1.55,US,1683628570
192,quellon,-43.1167,-73.6167,282.29,100,100,0.0,CL,1683628331
193,saldanha,-33.0117,17.9442,297.18,57,33,4.03,ZA,1683628570
194,levuka,50.1834,-105.4011,278.05,100,75,3.6,CA,1683628570
195,oum hadjer,13.2954,19.6966,312.99,15,100,1.72,TD,1683628571
196,fisterra,42.9049,-9.2629,293.16,85,22,6.03,ES,1683628571
197,fort st. john,56.2499,-120.8529,280.09,76,75,3.6,CA,1683628571
198,buala,-8.145,159.5921,299.71,85,97,1.0,SB,1683628571
199,afaahiti,-17.75,-149.2833,297.08,75,99,0.3,PF,1683628571
200,chivhu,-19.0211,30.8922,297.19,30,4,3.45,ZW,1683628572
201,ilulissat,69.2167,-51.1,271.16,93,100,3.09,GL,1683628524
202,port hedland,-20.3167,118.5667,298.18,53,0,3.6,AU,1683628572
203,vilyuchinsk,52.9306,158.4028,276.3,89,100,1.31,RU,1683628572
204,susuman,62.7833,148.1667,273.46,92,100,0.4,RU,1683628572
205,kununurra,-15.7667,128.7333,295.14,43,57,2.06,AU,1683628573
206,saint-philippe,-21.3585,55.7679,301.92,77,10,5.04,RE,1683628573
207,newcastle,-32.9272,151.7765,290.83,64,0,4.12,AU,1683628573
208,beinamar,8.6698,15.3813,313.29,24,94,0.51,TD,1683628573
209,atafu village,-8.5421,-172.5159,302.01,79,15,6.89,TK,1683628573
210,hammerfest,70.6634,23.6821,279.4,87,75,1.54,NO,1683628574
211,paithan,19.4833,75.3833,313.16,16,41,3.61,IN,1683628574
212,quelimane,-17.8786,36.8883,301.12,65,75,1.54,MZ,1683628574
213,kiunga,-6.1219,141.2906,297.23,99,99,1.1,PG,1683628574
214,fada,9.5667,8.3,311.24,18,39,0.41,NG,1683628574
215,chonchi,-42.6128,-73.8092,282.1,98,100,0.43,CL,1683628575
216,san antonio de pale,-1.4014,5.6325,301.53,80,73,4.77,GQ,1683628575
217,crane,31.3974,-102.3501,293.91,84,31,6.35,US,1683628575
218,bikenibeu village,1.3673,173.1241,300.13,89,20,1.54,KI,1683628575
219,jalai nur,49.45,117.7,290.19,22,5,3.24,CN,1683628575
220,balabac,7.9868,117.0645,301.35,77,67,3.17,PH,1683628576
221,lourdes,43.1,-0.05,286.86,94,75,4.63,FR,1683628529
222,baganga,7.5739,126.56,300.22,88,85,2.87,PH,1683628576
223,kill devil hills,36.0307,-75.676,293.16,89,0,2.06,US,1683628577
224,manakara,-22.1333,48.0167,298.91,71,13,2.08,MG,1683628577
225,fort bragg,35.139,-79.006,293.06,94,0,0.45,US,1683628577
226,port saint john's,-31.6229,29.5448,296.39,61,2,2.87,ZA,1683628577
227,madalena,41.2162,-8.3345,294.13,78,91,4.31,PT,1683628577
228,balchik,43.4167,28.1667,286.14,82,75,7.2,BG,1683628578
229,alfredo v. bonfil,21.0833,-86.85,296.12,94,20,0.0,MX,1683628578
230,bamboo flat,11.7,92.7167,302.55,76,100,5.43,IN,1683628578
